artist,songs,popularity,genre
Natalia Damini,12,0.2,Pop
Natalia Kills,57,0.2,Pop
Neil Sedaka,72,0.5,Pop
New Kids On The Block,101,0.8,Pop
Nexa,1,0.1,Pop
Niall Horan,15,1.6,Pop
Nick Carter,60,0.4,Pop
Nicolas Germano,8,1.1,Pop
Nicole Pillman,4,0.2,Pop
Nilton ArÌ»as,1,0.8,Pop
NKOTBSB,9,11.5,Pop
No Secrets,26,1.1,Pop
Nobre Carpinteiro,7,0.2,Pop
O Vento Solar,4,0.6,Pop
O-Town,55,0.7,Pop
Off The King,8,0.4,Pop
Offcase,1,1.8,Pop
Olly Murs,109,0.8,Pop
Outasight,29,0.1,Pop
Ov7,172,0.1,Pop
Paris Hilton,27,0.1,Pop
Patrick Nuo,46,0.7,Pop
Paula Abdul,47,0.2,Pop
Paulina Rubio,143,0.2,Pop
Paulo Ricardo,143,2.2,Pop
Pedro Naves e Rafael,6,1,Pop
Pedro PHS,4,0.2,Pop
Pelek,1,0.1,Pop
Pixie Lott,98,0.2,Pop
Popular e Sertanejo,3,0.1,Pop
Prefab Sprout,120,0.1,Pop
Preta Gil,66,0.7,Pop
Prisca Borba,10,5,Pop
Projeto Autor,1,2.8,Pop
Quartzo Band,3,23.8,Pop
Rafa Lucci,1,1.6,Pop
Rafael Barreto,34,0.2,Pop
Rafael Vidalles,7,5.1,Pop
Rag'n'Bone Man,32,6.6,Pop
Raven-SymonÌ©,64,0.1,Pop
Rebecca Black,14,0.2,Pop
Reik,101,0.7,Pop
Renan Cavolik,2,0.2,Pop
Renata Randel,2,0.6,Pop
Restart,60,0.8,Pop
Ria Mae,1,2.1,Pop
Rick Astley,98,1.6,Pop
Rick Springfield,20,0.2,Pop
Ricky Martin,163,3.5,Pop
Rique BrandÌ£o,3,0.1,Pop
Rita Ora,56,5.7,Pop
Rob Nunes,10,0.1,Pop
Roberto Maia,36,17.2,Pop
Robyn,92,0.8,Pop
Rodrigo Junior,8,0.2,Pop
Rodrigo Ta,1,0.2,Pop
Roger Costta,1,0.6,Pop
Ronny Acelo,3,0.2,Pop
Roya,1,14.2,Pop
Sad Boy,1,10.4,Pop
Samantha Jade,40,0.2,Pop
Samuel Matthew,10,4.1,Pop
Sandra Campos,3,0.9,Pop
Sara Bareilles,92,1.9,Pop
Savannah Outen,16,0.8,Pop
Se7en,111,0.7,Pop
Seal,153,3.4,Pop
Sebah,15,0.1,Pop
Selena Gomez,156,12.2,Pop
Sem Atalhos,7,0.1,Pop
Shakira,185,33.5,Pop
Shania Twain,113,8,Pop
Shawn Mendes,69,35.8,Pop
Six Pack,34,1.6,Pop
Spandau Ballet,54,0.5,Pop
Spice Girls,76,3.6,Pop
Stall the Ì_range,3,10.4,Pop
StÌ»nio Valter,1,0.2,Pop
Sterling Knight,10,0.2,Pop
Sugababes,134,0.2,Pop
Sun Ho,5,0.3,Pop
Take That,140,1.2,Pop
Talita Caldas,2,0.1,Pop
Tammin,12,1.4,Pop
Tangina Stone,5,0.2,Pop
Tania Aura,5,1.1,Pop
Taylor Swift,261,28.1,Pop
Tears For Fears,91,4.4,Pop
Terry Dourado,1,3.5,Pop
Thaeme,22,40.8,Pop
The Cardigans,85,0.4,Pop
The Chiffons,6,0.2,Pop
The Corrs,140,1.2,Pop
The Mamas And The Papas,63,0.4,Pop
The Ronettes,14,0.2,Pop
The Saturdays,91,0.2,Pop
The Shangri-las,14,0.1,Pop
Tiago Beirigo,1,0.2,Pop
Tiago Iorc,62,13.3,Pop
Tina Turner,147,3.2,Pop
Ton Carfi,80,4.3,Pop
Tounoir,2,1.9,Pop
Tracy Chapman,97,4.1,Pop
Trio Vocal 123,4,1.8,Pop
Tua Palavra,16,0.3,Pop
US5,42,0.1,Pop
V Factory,11,0.2,Pop
Veufo,2,0.2,Pop
Victor Brum,1,0.1,Pop
Victor Torres,8,0.1,Pop
Victoria Beckham,38,2,Pop
Victoria Pfeifer,1,9,Pop
VinÌ_cius Pimentel,3,0.1,Pop
Vinny,110,0.2,Pop
Westlife,220,3.9,Pop
WILL B,1,0.9,Pop
Wilson Simoninha,50,0.1,Pop
Wonder Girls,75,2.4,Pop
WoodMind,4,0.7,Pop
Zabot,4,0.1,Pop
Zendaya,48,0.6,Pop
10000 Maniacs,110,0.3,Pop
Balara,10,0.1,Pop
Biographia 54,1,1,Pop
Blitz,57,1.3,Pop
Dido,89,2.4,Pop
Duran Duran,207,2.8,Pop
Edson Ferreira,2,0.2,Pop
Georgios,10,2.8,Pop
Gold n' Soul,4,0.9,Pop
Gustavo Goulart,14,0.3,Pop
Jota Quest,154,13.3,Pop
Kerli,115,0.9,Pop
Maicon Egot,7,4,Pop
McFly,162,2.2,Pop
Miranda Cosgrove,39,0.4,Pop
Tori Nogueira,6,16.6,Pop
Vanessa Carlton,73,1.8,Pop
3OH!3,79,0.6,Pop
Arrete,1,0.1,Pop
Chantelle Paige,7,0.7,Pop
Colby O Donis,29,0.4,Pop
D. Woods,16,0.2,Pop
Fabio Coco,11,6.6,Pop
Fergie,66,3.5,Pop
Hoodie Allen,59,9,Pop
Jason Salles,17,1.9,Pop
Kevin Rudolf,18,0.1,Pop
Leo Kiss,1,2.2,Pop
Nelly Furtado,136,2,Pop
Nellyy Chris,3,2.2,Pop
Nicki Minaj,270,13.9,Pop
Nicole Scherzinger,101,0.7,Pop
Pitbull,242,2.6,Pop
14 Bis,120,1.8,Pop
2NE1,103,0.4,Pop
A.R. Rahman,61,9.3,Pop
ABBA,156,13.6,Pop
Adele,65,55.4,Pop
Adriana Calcanhotto,198,5,Pop
Alexandra Savior,9,0.2,Pop
Alexandre Ghati,3,0.1,Pop
Allan Fontes,4,0.1,Pop
AllÌ» Lopes,1,1.1,Pop
Allstar Weekend,36,0.6,Pop
Amanda de Paula,1,1.8,Pop
Ana Elisa Renault,13,0.4,Pop
Ana Paula ProcÌ_pio,5,5.8,Pop
AnavitÌ_ria,43,23.8,Pop
AndrÌ© Finhana,10,0.1,Pop
Andriix,5,9.2,Pop
Anna Cintia,4,0.4,Pop
Antunes,2,1.4,Pop
Ara Ketu,133,1.7,Pop
Ariana Carper,13,0.4,Pop
Armando Luis - Sapinho,10,1.2,Pop
Art of Noise,19,0.3,Pop
Arthur Melkey,6,1,Pop
Babado Novo,146,1.3,Pop
Banda 100 Stress,78,0.1,Pop
Bella Thorne,33,0.1,Pop
Belle & Sebastian,166,0.8,Pop
Blakkstar,1,3.9,Pop
Bread,100,1.8,Pop
Bruna Rocha,16,0.3,Pop
Bruno Mars,119,39.9,Pop
Bruno Maury,5,0.4,Pop
Bruno Miguel,28,0.1,Pop
Cadu Ferreira,4,8,Pop
Carly Rae Jepsen,80,10,Pop
Cat Stevens,164,1.8,Pop
CÌ©line Dion,378,13,Pop
Cher,288,3.5,Pop
China Anne Mcclain,24,0.1,Pop
Chiquititas,206,0.8,Pop
Christtian Rodrigues,2,0.1,Pop
Claudinho & Buchecha,74,3,Pop
Cleo,9,1.6,Pop
College 11,19,0.6,Pop
Cymia Telleria,11,0.5,Pop
Cyndi Lauper,232,7.5,Pop
Dani Bessegatto,1,5.1,Pop
Danny e Banda Mega Star,12,0.3,Pop
Danorte,2,0.1,Pop
David Guetta,197,10.5,Pop
Dcleo,1,55.4,Pop
DEAH Riccio,2,0.1,Pop
Deee Lite,40,1.9,Pop
Diogo Ferreira,4,0.2,Pop
Dionne Warwick,95,2.8,Pop
DJ Marlboro,70,0.4,Pop
Don Henley,67,0.2,Pop
Dora ToiÌÁ,9,0.7,Pop
Douglas Nobre,1,0.3,Pop
Duckye,1,0.2,Pop
Ed Dias,8,0.3,Pop
Eliana,203,6,Pop
Enrique Iglesias,165,7.2,Pop
Eric Saade,53,14.5,Pop
Erthal,11,0.1,Pop
Especial de Ano Todo,11,0.6,Pop
Ester Campos,17,9.2,Pop
FERRI,8,2.4,Pop
Fournier,3,39.4,Pop
Gabriel Rezende,3,0.9,Pop
Genesis,202,2.1,Pop
Gil Liima,36,15.9,Pop
Girls' Generation,248,0.4,Pop
Guilherme Arantes,240,3.1,Pop
Guilherme Morari,1,0.2,Pop
Gwen Stefani,76,1.4,Pop
Haldson Ventura,9,0.1,Pop
He Is We,30,0.6,Pop
Henrique Campos,4,0.1,Pop
Hilary Duff,109,0.7,Pop
HUNTR,3,0.1,Pop
Jaci Velasquez,156,0.2,Pop
Jackson 5,215,2.6,Pop
Jamiroquai,114,0.5,Pop
Jarzo Alves,3,7.2,Pop
Jean Santoro,2,1.7,Pop
Jennifer Lopez,203,5.8,Pop
Jess,1,0.1,Pop
Jesse McCartney,102,2.7,Pop
Joe Jonas,16,0.2,Pop
Joss Stone,140,2.4,Pop
Julie & Os Fantasmas,17,0.2,Pop
Julie Ramos,6,0.1,Pop
Justin Bieber,214,28.3,Pop
K R Aleatorio,1,0.7,Pop
K-BEL,10,9.4,Pop
Kaique Theodoro,1,1,Pop
Karol Stahr,12,0.5,Pop
Katy B,56,0.1,Pop
KeL Do Nascimento,6,1.1,Pop
Kelly Key,84,1.8,Pop
KHarlles,102,0.3,Pop
Kleiton e Kledir,78,1.1,Pop
Lady Gaga,244,93.9,Pop
Latino,126,2.1,Pop
Laura Jansen,13,1,Pop
Laura Pausini,405,9.4,Pop
LeoAna,10,1.9,Pop
Leoti,5,8,Pop
Leveckendz,1,0.4,Pop
Lindsey Martinez,5,0.1,Pop
Lippe,2,0.3,Pop
Locomotive,14,0.2,Pop
Lorde,51,3.9,Pop
Lu Toledo,12,0.2,Pop
Luana Costa,10,0.1,Pop
Luc Ivor,5,12.9,Pop
Lucas Angelo,1,0.5,Pop
Madonna,333,12.7,Pop
Major Tonn,1,0.2,Pop
Mandy Moore,109,0.9,Pop
Manu Chao,107,1.5,Pop
Manu Gavassi,60,2,Pop
Marcelo Jeneci,36,1.9,Pop
Maria JÌ_lia Bozzolan,1,14,Pop
Mariah Carey,271,13.9,Pop
Marina Elali,49,0.9,Pop
Marjorie Estiano,57,0.8,Pop
Mateus Barbosa,1,0.1,Pop
Matheu's Feitoza,2,1.4,Pop
Mavericky,3,0.4,Pop
Mawtham,22,0.1,Pop
Mc Illana,1,0.1,Pop
MC Leozinho,42,0.3,Pop
MC Savannah,1,4.1,Pop
Melon,9,0.8,Pop
Micah Elloh,2,0.2,Pop
Mika,103,1.1,Pop
Miss Daja,2,14.6,Pop
Mitchel Musso,44,0.3,Pop
Mohanna,2,11.5,Pop
MÌ_a,176,0.4,Pop
Naldo,63,0.7,Pop
Nando,5,9.2,Pop
Natalie La Rose,3,13.9,Pop
Natasha Bedingfield,73,0.8,Pop
Natasha LeÌÁh,18,0.1,Pop
Neon Hitch,66,0.1,Pop
Nicola Roberts,17,40.1,Pop
Ninha Rayarchad,1,0.2,Pop
Noah Cliff,1,1.5,Pop
Oh Land,32,3.5,Pop
One Direction,124,14.2,Pop
Owl City,125,0.7,Pop
P H,2,0.6,Pop
Paolo Meola,4,40.1,Pop
"Paulinho, Cancioneiro",24,1.1,Pop
Pedro Henrique Silva,1,0.2,Pop
Pedro PondÌ©,4,0.1,Pop
Pet Shop Boys,285,4.1,Pop
Pink,168,38.1,Pop
Prud Rey,1,28.1,Pop
Rafa Novaes,1,6.6,Pop
Rafael Silva,28,4.8,Pop
Rebeca Carvalho,10,0.1,Pop
Renan Freixes,1,0.5,Pop
Robbie Williams,282,4.5,Pop
Rodrigo e Thayane,7,0.2,Pop
Rouge,73,2.4,Pop
Saint Etienne,191,0.8,Pop
Sandy,88,9.3,Pop
September,59,0.2,Pop
Sia,175,15.6,Pop
Slow Club,35,9.2,Pop
Somos Mais Que Amigos,10,1.9,Pop
Sonohra,65,0.2,Pop
Sonora,5,0.1,Pop
SueÌ±a Conmigo,30,0.1,Pop
Super Junior,293,0.4,Pop
SuperHeavy,13,0.1,Pop
Supertramp,106,2.1,Pop
Thalles Roberto,121,6.8,Pop
The Ready Set,72,0.1,Pop
The Supremes,238,2.1,Pop
The Wanted,65,2.4,Pop
Thiago Arancam,17,1.8,Pop
Tiago Schleier,10,0.1,Pop
Tifanny Willy,2,10.4,Pop
Tiziano Ferro,160,2.1,Pop
Trio Bravana,19,0.1,Pop
Tulipa Ruiz,44,0.4,Pop
Uata Anderson,16,0.4,Pop
Vanessa Hudgens,49,0.7,Pop
Victoria Justice / Victorious,49,0.2,Pop
Violetta,99,2,Pop
W&SS,1,0.1,Pop
Waldy Jorge,12,0.1,Pop
Xuxa,539,14.1,Pop
Yago Ramos,5,0.2,Pop
ZÌ©lia Duncan,207,1.7,Pop
Gui Amaral,26,0.2,Pop
Luiz Henrique & Fernando,43,0.1,Pop
Agnela,29,0.1,Pop
Audrye Sessions,8,0.1,Pop
Banda Sum,9,0.8,Pop
Chris Richardson,4,1.3,Pop
Dan Torres,36,0.1,Pop
Emmerson Nogueira,96,0.9,Pop
Engenheiros do Hawaii,193,11.9,Pop
Fincabaute,25,0.3,Pop
INXS,146,1.7,Pop
James Blunt,94,7.2,Pop
Jonas Brothers,146,1.4,Pop
Lifehouse,146,7.5,Pop
Lulu Santos,271,10,Pop
Michelle Branch,77,0.3,Pop
Nick Jonas,82,1.9,Pop
O.A.R.,103,5.5,Pop
Pato Fu,146,1.4,Pop
Pedra LetÌ_cia,39,1.1,Pop
Rick Rock,4,0.4,Pop
Rude,7,0.1,Pop
Sintonizando Sonhos,4,0.3,Pop
Skank,139,12.3,Pop
Stevens,28,0.1,Pop
The Cab,38,0.1,Pop
The Naked Brothers Band/Nat and Alex Wolff,75,9.2,Pop
The Veronicas,97,0.4,Pop
Torugo Teles,2,0.4,Pop
Akon,305,9.8,Pop
BigBang,175,1,Pop
Chiddy Bang,28,0.6,Pop
Chris Brown,563,14.3,Pop
Christina Milian,62,2.6,Pop
Far East Movement,69,0.3,Pop
Iggy Azalea,87,2.7,Pop
Iyaz,24,0.1,Pop
Jhonis,1,0.5,Pop
Justin Timberlake,135,14.5,Pop
M.I.A.,117,0.9,Pop
Mac Miller,212,1.4,Pop
Marihanna,4,0.1,Pop
Mindless Behavior,31,0.2,Pop
N-Dubz,28,14.6,Pop
Patrona,5,1,Pop
PJ Morton,37,7.2,Pop
Roco e Diego,1,0.5,Pop
Tinashe,102,0.6,Pop
Travie McCoy,21,0.4,Pop
VayÌ_lla,3,17.2,Pop
Wallacy Gabriel,1,2.6,Pop
Wibe,5,0.6,Pop
ÌÅdrian DelFenty,1,14.2,Pop
Alphabeat,34,1.8,Pop
ÌÅlvaro,3,1,Pop
Ana Carolina,166,14.5,Pop
Anderson Negrine,1,0.1,Pop
Ashley Tisdale,90,15.9,Pop
Babi Martinez,3,0.4,Pop
BÌÁrbara Dias,18,4.2,Pop
Bee Gees,553,10.4,Pop
Benny Benassi,65,0.5,Pop
Big Time Rush,89,0.7,Pop
Bruni.B,1,9.8,Pop
Bruno Oliveira,44,0.4,Pop
Bryan Haller,2,1.3,Pop
Carole King,144,0.6,Pop
Cartho,13,0.3,Pop
Chay Suede,32,0.1,Pop
Christina Perri,65,39.4,Pop
D. Limma,1,0.4,Pop
Deco Goes,9,0.4,Pop
Dhioni,2,0.3,Pop
Diogo Martins,3,0.9,Pop
Eduardo Leveck,61,2.7,Pop
Eric Henrique,1,0.5,Pop
Fabio BlÌ_nc,17,0.1,Pop
FÌÁbio Sina,1,0.2,Pop
FlÌÁvia Felicio,7,0.2,Pop
Gabi Caroline,2,5.3,Pop
Gabriel Albuquerque,6,0.6,Pop
GlÌÁucia Ramos,13,2.3,Pop
Glee,691,8,Pop
Guga Oliveira,15,0.2,Pop
Guilherme Mattar,4,1.6,Pop
Iurih,2,11.9,Pop
Jakson Silva,10,1.6,Pop
Jeferson Montez,9,0.2,Pop
Jennifer Hudson,75,1.1,Pop
Jessie J,127,26.3,Pop
Jherry,4,2.1,Pop
JoÌ£o CallaÌ_a,13,5.1,Pop
Joe Amaurot,4,0.4,Pop
Joni Mitchell,221,0.3,Pop
Junior Caetano,1,0.2,Pop
Karina Martins,16,12.2,Pop
Kelly Clarkson,213,7.7,Pop
Leona Lewis,108,2.3,Pop
Luan Santana,187,17.2,Pop
Lusca,2,8,Pop
Marcella,2,0.7,Pop
Mariana Bell,1,1,Pop
Miau Grupo,3,1.8,Pop
Mike,1,0.1,Pop
Nanda Santos,1,0.8,Pop
Nina Joory,1,4.2,Pop
Nonato Costa,11,0.1,Pop
Pamela,131,1.3,Pop
Paula Fernandes,215,10.4,Pop
PSY,43,1.4,Pop
Quase Anjos/Casi Angeles,96,0.2,Pop
Rafael Esteffans,1,10,Pop
Raphaella,4,1.1,Pop
RBD,151,9.8,Pop
Ronalt,11,0.3,Pop
Roupa Nova,249,12.8,Pop
Sandy & Junior,201,14,Pop
t.A.T.u.,77,0.7,Pop
Taio Cruz,76,1,Pop
Teffy Angel,1,1,Pop
ThalÌ_a,268,2.5,Pop
The Asteroids Galaxy Tour,30,1.4,Pop
The Human League,91,0.1,Pop
The Ting Tings,31,0.1,Pop
Thiago Motta,112,0.1,Pop
Tove Lo,65,4.3,Pop
Valdo Oliveira,2,4.2,Pop
Vanessa da Mata,109,5,Pop
Vanilly Vipper,1,0.2,Pop
Vocal AlvA,13,0.1,Pop
Vremya I Steklo,5,23.8,Pop
Walk The Moon,46,0.6,Pop
Wanessa Camargo,152,1.7,Pop
Welker,3,55.4,Pop
Werick Silva,1,0.7,Pop
Wesley Ignacio,14,0.1,Pop
Will Castle,5,2.2,Pop
