,artist,title,track_n,line,lyrics,track_title
122,Evanescence,Origin,5,11,No one seems to hear your hidden cries,Where Will You Go
123,Evanescence,Origin,5,12,You're left to face yourself alone,Where Will You Go
124,Evanescence,Origin,5,13,But where will you go (where will you go),Where Will You Go
125,Evanescence,Origin,5,14,With no one left to save you from yourself,Where Will You Go
126,Evanescence,Origin,5,15,You can't escape,Where Will You Go
127,Evanescence,Origin,5,16,The truth,Where Will You Go
128,Evanescence,Origin,5,17,I realize you're afraid (I realize),Where Will You Go
129,Evanescence,Origin,5,18,But you can't abandon everyone,Where Will You Go
130,Evanescence,Origin,5,19,You can't escape,Where Will You Go
131,Evanescence,Origin,5,20,You don't want to escape,Where Will You Go
132,Evanescence,Origin,5,21,I'm so sick of speaking words that no one understands,Where Will You Go
133,Evanescence,Origin,5,22,Is it clear enough that you can't live your whole life all alone?,Where Will You Go
134,Evanescence,Origin,5,23,I can hear you in a whisper,Where Will You Go
135,Evanescence,Origin,5,24,But you can't even hear me screaming,Where Will You Go
136,Evanescence,Origin,5,25,Where will you go (where will you go),Where Will You Go
137,Evanescence,Origin,5,26,With no one left to save you from yourself,Where Will You Go
138,Evanescence,Origin,5,27,You can't escape,Where Will You Go
139,Evanescence,Origin,5,28,The truth,Where Will You Go
140,Evanescence,Origin,5,29,I realize you're afraid (I realize),Where Will You Go
141,Evanescence,Origin,5,30,But you can't reject the whole world,Where Will You Go
142,Evanescence,Origin,5,31,You can't escape,Where Will You Go
143,Evanescence,Origin,5,32,You can't escape,Where Will You Go
144,Evanescence,Origin,5,33,You can't escape,Where Will You Go
145,Evanescence,Origin,5,34,You don't want to escape,Where Will You Go
146,Evanescence,Origin,6,1,I still remember the world,Field Of Innocence
147,Evanescence,Origin,6,2,From the eyes of a child,Field Of Innocence
148,Evanescence,Origin,6,3,Slowly those feelings,Field Of Innocence
149,Evanescence,Origin,6,4,Were clouded by what I know now,Field Of Innocence
150,Evanescence,Origin,6,5,Where has my heart gone,Field Of Innocence
151,Evanescence,Origin,6,6,An uneven trade for the real world,Field Of Innocence
152,Evanescence,Origin,6,7,"Oh I, I want to go back to",Field Of Innocence
153,Evanescence,Origin,6,8,Believing in everything and knowing nothing at all,Field Of Innocence
154,Evanescence,Origin,6,9,I still remember the sun,Field Of Innocence
155,Evanescence,Origin,6,10,Always warm on my back,Field Of Innocence
156,Evanescence,Origin,6,11,Somehow it seems colder now,Field Of Innocence
157,Evanescence,Origin,6,12,Where has my heart gone,Field Of Innocence
158,Evanescence,Origin,6,13,Trapped in the eyes of a stranger,Field Of Innocence
159,Evanescence,Origin,6,14,Oh I... I want to go back to,Field Of Innocence
160,Evanescence,Origin,6,15,Believing in everything,Field Of Innocence
161,Evanescence,Origin,6,16,"Iesu, Rex admirabilis",Field Of Innocence
162,Evanescence,Origin,6,17,Et triumphator nobilis,Field Of Innocence
163,Evanescence,Origin,6,18,Dulcedo ineffabilis,Field Of Innocence
164,Evanescence,Origin,6,19,Totus desiderabilis,Field Of Innocence
165,Evanescence,Origin,6,20,Where has my heart gone,Field Of Innocence
166,Evanescence,Origin,6,21,An uneven trade for the real world,Field Of Innocence
167,Evanescence,Origin,6,22,Oh I... I want to go back to,Field Of Innocence
168,Evanescence,Origin,6,23,Believing in everything,Field Of Innocence
169,Evanescence,Origin,6,24,"Oh, Where",Field Of Innocence
170,Evanescence,Origin,6,25,Where has my heart gone,Field Of Innocence
171,Evanescence,Origin,6,26,Trapped in the eyes of a stranger,Field Of Innocence
172,Evanescence,Origin,6,27,Oh I... I want to go back to,Field Of Innocence
173,Evanescence,Origin,6,28,Believing in everything,Field Of Innocence
174,Evanescence,Origin,6,29,I still remember,Field Of Innocence
175,Evanescence,Origin,7,1,Give me a reason to believe that you're gone,Even In Death
176,Evanescence,Origin,7,2,I see your shadow so I know they're all wrong,Even In Death
177,Evanescence,Origin,7,3,Moonlight on the soft brown earth,Even In Death
178,Evanescence,Origin,7,4,It leads me to where you lay,Even In Death
179,Evanescence,Origin,7,5,They took you away from me but now I'm taking you home,Even In Death
180,Evanescence,Origin,7,6,I will stay forever here with you,Even In Death
181,Evanescence,Origin,7,7,My love,Even In Death
182,Evanescence,Origin,7,8,The softly spoken words you gave me,Even In Death
183,Evanescence,Origin,7,9,Even in death our love goes on,Even In Death
184,Evanescence,Origin,7,10,"Some say I'm crazy for my love, Oh my love",Even In Death
185,Evanescence,Origin,7,11,"But no bonds can hold me from your side, Oh my love",Even In Death
186,Evanescence,Origin,7,12,They don't know you can't leave me,Even In Death
187,Evanescence,Origin,7,13,They don't hear you singing to me,Even In Death
188,Evanescence,Origin,7,14,I will stay forever here with you,Even In Death
189,Evanescence,Origin,7,15,My love,Even In Death
190,Evanescence,Origin,7,16,The softly spoken words you gave me,Even In Death
191,Evanescence,Origin,7,17,Even in death our love goes on,Even In Death
192,Evanescence,Origin,7,18,"And I can't love you, anymore than I do",Even In Death
193,Evanescence,Origin,7,19,I will stay forever here with you,Even In Death
194,Evanescence,Origin,7,20,My love,Even In Death
195,Evanescence,Origin,7,21,The softly spoken words you gave me,Even In Death
196,Evanescence,Origin,7,22,Even in death our love goes on,Even In Death
197,Evanescence,Origin,7,23,"And I can't love you, anymore than I do",Even In Death
198,Evanescence,Origin,7,24,"People die, but real love is forever",Even In Death
199,Evanescence,Origin,8,1,"Dear my love, haven't you wanted to be with me?",Anywhere
200,Evanescence,Origin,8,2,"And dear my love, haven't you longed to be free",Anywhere
201,Evanescence,Origin,8,3,I can't keep pretending that I don't even know you,Anywhere
202,Evanescence,Origin,8,4,"And at sweet night, you are my own",Anywhere
203,Evanescence,Origin,8,5,Take my hand,Anywhere
204,Evanescence,Origin,8,6,We're leaving here tonight,Anywhere
205,Evanescence,Origin,8,7,There's no need to tell anyone,Anywhere
206,Evanescence,Origin,8,8,They'd only hold us down,Anywhere
207,Evanescence,Origin,8,9,So by the morning's light,Anywhere
208,Evanescence,Origin,8,10,We'll be half way to anywhere,Anywhere
209,Evanescence,Origin,8,11,Where love is more than just your name,Anywhere
210,Evanescence,Origin,8,12,I have dreamt of a place for you and I,Anywhere
211,Evanescence,Origin,8,13,No one knows who we are there,Anywhere
212,Evanescence,Origin,8,14,All I want is to give my life only to you,Anywhere
213,Evanescence,Origin,8,15,I've dreamt so long I cannot dream anymore,Anywhere
214,Evanescence,Origin,8,16,"Let's run away, I'll take you there",Anywhere
215,Evanescence,Origin,8,17,We're leaving here tonight,Anywhere
216,Evanescence,Origin,8,18,There's no need to tell anyone,Anywhere
217,Evanescence,Origin,8,19,They'd only hold us down,Anywhere
218,Evanescence,Origin,8,20,So by the morning's light,Anywhere
219,Evanescence,Origin,8,21,We'll be half way to anywhere,Anywhere
220,Evanescence,Origin,8,22,Where no one needs a reason,Anywhere
221,Evanescence,Origin,8,23,Forget this life,Anywhere
222,Evanescence,Origin,8,24,Come with me,Anywhere
223,Evanescence,Origin,8,25,"Don't look back, you're safe now",Anywhere
224,Evanescence,Origin,8,26,Unlock your heart,Anywhere
225,Evanescence,Origin,8,27,Drop your guard,Anywhere
226,Evanescence,Origin,8,28,No one's left to stop you,Anywhere
227,Evanescence,Origin,8,29,Forget this life,Anywhere
228,Evanescence,Origin,8,30,Come with me,Anywhere
229,Evanescence,Origin,8,31,"Don't look back, you're safe now",Anywhere
230,Evanescence,Origin,8,32,Unlock your heart,Anywhere
231,Evanescence,Origin,8,33,Drop your guard,Anywhere
232,Evanescence,Origin,8,34,No one's left to stop you now,Anywhere
233,Evanescence,Origin,8,35,We're leaving here tonight,Anywhere
234,Evanescence,Origin,8,36,There's no need to tell anyone,Anywhere
235,Evanescence,Origin,8,37,They'd only hold us down,Anywhere
236,Evanescence,Origin,8,38,So by the morning's light,Anywhere
237,Evanescence,Origin,8,39,We'll be half way to anywhere,Anywhere
238,Evanescence,Origin,8,40,Where love is more than just your name,Anywhere
239,Evanescence,Origin,8,41,"Yeah yeah, yeah yeah, yeah yeah",Anywhere
240,Evanescence,Origin,8,42,NA,Anywhere
241,Evanescence,Origin,9,1,Bound at every limb by my shackles of fear,Lies
242,Evanescence,Origin,9,2,Sealed with lies through so many tears,Lies
243,Evanescence,Origin,9,3,"Lost from within, pursuing the end",Lies
244,Evanescence,Origin,9,4,I fight for the chance to be lied to again,Lies
245,Evanescence,Origin,9,5,You will never be strong enough,Lies
246,Evanescence,Origin,9,6,You will never be good enough,Lies
247,Evanescence,Origin,9,7,You were never conceived in love,Lies
248,Evanescence,Origin,9,8,You will not rise above,Lies
249,Evanescence,Origin,9,9,They'll never see,Lies
250,Evanescence,Origin,9,10,I'll never be,Lies
251,Evanescence,Origin,9,11,I'll struggle on and on to feed this hunger,Lies
252,Evanescence,Origin,9,12,Burning deep inside of me,Lies
253,Evanescence,Origin,9,13,But through my tears breaks a blinding light,Lies
254,Evanescence,Origin,9,14,Birthing a dawn to this endless night,Lies
255,Evanescence,Origin,9,15,"Arms outstretched, awaiting me",Lies
256,Evanescence,Origin,9,16,An open embrace upon a bleeding tree,Lies
257,Evanescence,Origin,9,17,Rest in me and I'll comfort you,Lies
258,Evanescence,Origin,9,18,I have lived and I died for you,Lies
259,Evanescence,Origin,9,19,Abide in me and I vow to you,Lies
260,Evanescence,Origin,9,20,I will never forsake you,Lies
261,Evanescence,Origin,9,21,They'll never see,Lies
262,Evanescence,Origin,9,22,I'll never be,Lies
263,Evanescence,Origin,9,23,I'll struggle on and on to feed this hunger,Lies
264,Evanescence,Origin,9,24,Burning deep inside of me,Lies
265,Evanescence,Origin,9,25,Rest in me and I'll comfort you,Lies
266,Evanescence,Origin,9,26,I have lived and I died for you,Lies
267,Evanescence,Origin,9,27,Abide in me and I vow to you,Lies
268,Evanescence,Origin,9,28,I will never forsake you,Lies
269,Evanescence,Origin,9,29,They'll never see,Lies
270,Evanescence,Origin,9,30,I'll never be,Lies
271,Evanescence,Origin,9,31,I'll struggle on and on to feed this hunger,Lies
272,Evanescence,Origin,9,32,Burning deep inside of me,Lies
273,Evanescence,Origin,10,1,I hold my breath as this life starts to take its toll,Away From Me
274,Evanescence,Origin,10,2,I hide behind a smile as this perfect plan unfolds,Away From Me
275,Evanescence,Origin,10,3,"But oh, God, I feel I've been lied to",Away From Me
276,Evanescence,Origin,10,4,Lost all faith in the things I have achieved,Away From Me
277,Evanescence,Origin,10,5,And I,Away From Me
278,Evanescence,Origin,10,6,I've woken now to find myself,Away From Me
279,Evanescence,Origin,10,7,In the shadows of all I have created,Away From Me
280,Evanescence,Origin,10,8,I'm longing to be lost in you,Away From Me
281,Evanescence,Origin,10,9,(away from this place I have made),Away From Me
282,Evanescence,Origin,10,10,Won't you take me away from me,Away From Me
283,Evanescence,Origin,10,11,Crawling through this world as disease flows through my veins,Away From Me
284,Evanescence,Origin,10,12,"I look into myself, but my own heart has been changed",Away From Me
285,Evanescence,Origin,10,13,I can't go on like this,Away From Me
286,Evanescence,Origin,10,14,I loathe all I've become,Away From Me
287,Evanescence,Origin,10,15,I've woken now to find myself,Away From Me
288,Evanescence,Origin,10,16,In the shadows of all I have created,Away From Me
289,Evanescence,Origin,10,17,I'm longing to be lost in you,Away From Me
290,Evanescence,Origin,10,18,(away from this place I have made),Away From Me
291,Evanescence,Origin,10,19,Won't you take me away from me,Away From Me
292,Evanescence,Origin,10,20,Lost in a dying world I reach for something more,Away From Me
293,Evanescence,Origin,10,21,I have grown so weary of this lie I live,Away From Me
294,Evanescence,Origin,10,22,I've woken now to find myself,Away From Me
295,Evanescence,Origin,10,23,In the shadows of all I have created,Away From Me
296,Evanescence,Origin,10,24,I'm longing to be lost in you,Away From Me
297,Evanescence,Origin,10,25,I have woken now to find myself,Away From Me
298,Evanescence,Origin,10,26,I'm lost in shadows of my own,Away From Me
299,Evanescence,Origin,10,27,I'm longing to be lost in you,Away From Me
300,Evanescence,Origin,10,28,Away from me,Away From Me
301,Evanescence,Origin,11,1,NA,Eternal
302,Evanescence,Fallen,1,1,Now I will tell you what I've done for you,Going Under
303,Evanescence,Fallen,1,2,Fifty thousand tears I've cried,Going Under
304,Evanescence,Fallen,1,3,"Screaming, deceiving and bleeding for you",Going Under
305,Evanescence,Fallen,1,4,And you still won't hear me (Going under),Going Under
306,Evanescence,Fallen,1,5,"Don't want your hand this time, I'll save myself",Going Under
307,Evanescence,Fallen,1,6,Maybe I'll wake up for once (Wake up for once),Going Under
308,Evanescence,Fallen,1,7,"Not tormented, daily defeated by you",Going Under
309,Evanescence,Fallen,1,8,Just when I thought I'd reached the bottom,Going Under
310,Evanescence,Fallen,1,9,I'm dying again,Going Under
311,Evanescence,Fallen,1,10,I'm going under (Going under),Going Under
312,Evanescence,Fallen,1,11,Drowning in you (Drowning in you),Going Under
313,Evanescence,Fallen,1,12,I'm falling forever (Falling forever),Going Under
314,Evanescence,Fallen,1,13,I've got to break through,Going Under
315,Evanescence,Fallen,1,14,I'm going under,Going Under
316,Evanescence,Fallen,1,15,Blurring and stirring the truth and the lies,Going Under
317,Evanescence,Fallen,1,16,(So I don't know what's real),Going Under
318,Evanescence,Fallen,1,17,So I don't know what's real and what's not,Going Under
319,Evanescence,Fallen,1,18,(Don't know what's real and what's not),Going Under
320,Evanescence,Fallen,1,19,Always confusing the thoughts in my head (Oh),Going Under
321,Evanescence,Fallen,1,20,So I can't trust myself anymore,Going Under
322,Evanescence,Fallen,1,21,I'm dying again,Going Under
323,Evanescence,Fallen,1,22,I'm going under (Going under),Going Under
324,Evanescence,Fallen,1,23,Drowning in you (Drowning in you),Going Under
325,Evanescence,Fallen,1,24,I'm falling forever (Falling forever),Going Under
326,Evanescence,Fallen,1,25,I've got to break through,Going Under
327,Evanescence,Fallen,1,26,I'm,Going Under
328,Evanescence,Fallen,1,27,So go on and scream,Going Under
329,Evanescence,Fallen,1,28,"Scream at me, I'm so far away (So far away)",Going Under
330,Evanescence,Fallen,1,29,I won't be broken again (Again),Going Under
331,Evanescence,Fallen,1,30,"I've got to breathe, I can't keep going under",Going Under
332,Evanescence,Fallen,1,31,NA,Going Under
333,Evanescence,Fallen,1,32,I'm dying again,Going Under
334,Evanescence,Fallen,1,33,I'm going under (Going under),Going Under
335,Evanescence,Fallen,1,34,Drowning in you (Drowning in you),Going Under
336,Evanescence,Fallen,1,35,I'm falling forever (Falling forever),Going Under
337,Evanescence,Fallen,1,36,I've got to break through,Going Under
338,Evanescence,Fallen,1,37,I'm,Going Under
339,Evanescence,Fallen,1,38,Going under (Going under),Going Under
340,Evanescence,Fallen,1,39,I'm going under (Drowning in you),Going Under
341,Evanescence,Fallen,1,40,I'm going under,Going Under
342,Evanescence,Fallen,2,1,How can you see into my eyes like open doors?,Bring Me to Life (Ft.Â PaulÂ McCoy)
343,Evanescence,Fallen,2,2,"Leading you down into my core, where I've become so numb",Bring Me to Life (Ft.Â PaulÂ McCoy)
344,Evanescence,Fallen,2,3,"Without a soul, my spirit's sleeping somewhere cold",Bring Me to Life (Ft.Â PaulÂ McCoy)
345,Evanescence,Fallen,2,4,Until you find it there and lead it back home,Bring Me to Life (Ft.Â PaulÂ McCoy)
346,Evanescence,Fallen,2,5,"Wake me up, wake me up inside",Bring Me to Life (Ft.Â PaulÂ McCoy)
347,Evanescence,Fallen,2,6,"I can't wake up, wake me up inside",Bring Me to Life (Ft.Â PaulÂ McCoy)
348,Evanescence,Fallen,2,7,"Save me, call my name and save me from the dark",Bring Me to Life (Ft.Â PaulÂ McCoy)
349,Evanescence,Fallen,2,8,"Wake me up, bid my blood to run",Bring Me to Life (Ft.Â PaulÂ McCoy)
350,Evanescence,Fallen,2,9,"I can't wake up, before I come undone",Bring Me to Life (Ft.Â PaulÂ McCoy)
351,Evanescence,Fallen,2,10,"Save me, save me from the nothing I've become",Bring Me to Life (Ft.Â PaulÂ McCoy)
352,Evanescence,Fallen,2,11,"Now that I know what I'm without, you can't just leave me",Bring Me to Life (Ft.Â PaulÂ McCoy)
353,Evanescence,Fallen,2,12,"Breathe into me and make me real, bring me to life",Bring Me to Life (Ft.Â PaulÂ McCoy)
354,Evanescence,Fallen,2,13,"Wake me up, wake me up inside",Bring Me to Life (Ft.Â PaulÂ McCoy)
355,Evanescence,Fallen,2,14,"I can't wake up, wake me up inside",Bring Me to Life (Ft.Â PaulÂ McCoy)
356,Evanescence,Fallen,2,15,"Save me, call my name and save me from the dark",Bring Me to Life (Ft.Â PaulÂ McCoy)
357,Evanescence,Fallen,2,16,"Wake me up, bid my blood to run",Bring Me to Life (Ft.Â PaulÂ McCoy)
358,Evanescence,Fallen,2,17,"I can't wake up, before I come undone",Bring Me to Life (Ft.Â PaulÂ McCoy)
359,Evanescence,Fallen,2,18,"Save me, save me from the nothing I've become",Bring Me to Life (Ft.Â PaulÂ McCoy)
360,Evanescence,Fallen,2,19,"Bring me to life, I've been livin' a lie, there's nothing inside",Bring Me to Life (Ft.Â PaulÂ McCoy)
361,Evanescence,Fallen,2,20,Bring me to life,Bring Me to Life (Ft.Â PaulÂ McCoy)
362,Evanescence,Fallen,2,21,"Frozen inside, without your touch, without your love, darling",Bring Me to Life (Ft.Â PaulÂ McCoy)
363,Evanescence,Fallen,2,22,Only you are the life among the dead,Bring Me to Life (Ft.Â PaulÂ McCoy)
364,Evanescence,Fallen,2,23,"All this time, I can't believe I couldn't see",Bring Me to Life (Ft.Â PaulÂ McCoy)
365,Evanescence,Fallen,2,24,"Kept in the dark, but you were there in front of me",Bring Me to Life (Ft.Â PaulÂ McCoy)
366,Evanescence,Fallen,2,25,"I've been sleeping a thousand years, it seems",Bring Me to Life (Ft.Â PaulÂ McCoy)
367,Evanescence,Fallen,2,26,Got to open my eyes to everything,Bring Me to Life (Ft.Â PaulÂ McCoy)
368,Evanescence,Fallen,2,27,"Without a thought, without a voice, without a soul",Bring Me to Life (Ft.Â PaulÂ McCoy)
369,Evanescence,Fallen,2,28,Don't let me die here,Bring Me to Life (Ft.Â PaulÂ McCoy)
370,Evanescence,Fallen,2,29,There must be something more,Bring Me to Life (Ft.Â PaulÂ McCoy)
371,Evanescence,Fallen,2,30,Bring me to life,Bring Me to Life (Ft.Â PaulÂ McCoy)
372,Evanescence,Fallen,2,31,"Wake me up, wake me up inside",Bring Me to Life (Ft.Â PaulÂ McCoy)
373,Evanescence,Fallen,2,32,"I can't wake up, wake me up inside",Bring Me to Life (Ft.Â PaulÂ McCoy)
374,Evanescence,Fallen,2,33,"Save me, call my name and save me from the dark",Bring Me to Life (Ft.Â PaulÂ McCoy)
375,Evanescence,Fallen,2,34,"Wake me up, bid my blood to run",Bring Me to Life (Ft.Â PaulÂ McCoy)
376,Evanescence,Fallen,2,35,"I can't wake up, before I come undone",Bring Me to Life (Ft.Â PaulÂ McCoy)
377,Evanescence,Fallen,2,36,"Save me, save me from the nothing I've become",Bring Me to Life (Ft.Â PaulÂ McCoy)
378,Evanescence,Fallen,2,37,"Bring me to life, I've been living a lie, there's nothing inside",Bring Me to Life (Ft.Â PaulÂ McCoy)
379,Evanescence,Fallen,2,38,Bring me to life,Bring Me to Life (Ft.Â PaulÂ McCoy)
380,Evanescence,Fallen,3,1,Perfect by nature,Everybody's Fool
381,Evanescence,Fallen,3,2,Icons of self-indulgence,Everybody's Fool
