artist,songs,popularity,link,genre
Meredith Brooks,59,0.5,/meredith-brooks/,Rock
Metallica,179,13.4,/metallica/,Rock
Michael Kiske,52,0,/michael-kiske/,Rock
Michelle Branch,77,0.3,/michelle-branch/,Rock
MindFlow,48,0.2,/mindflow/,Rock
Misstake,5,0,/misstake/,Rock
Monno,15,0,/monno/,Rock
Moptop,31,0.1,/moptop/,Rock
Moskkana,2,0,/moskkana/,Rock
Mutantes,123,1,/os-mutantes/,Rock
Natalie Merchant,106,0.1,/natalie-merchant/,Rock
Nazareth,270,4.1,/nazareth/,Rock
Neil Young,490,3.1,/neil-young/,Rock
New Model Army,169,0.1,/new-model-army/,Rock
Nick Cave & The Bad Seeds,285,1,/nick-cave-the-bad-seeds/,Rock
Nirvana,128,11.6,/nirvana/,Rock
No Doubt,122,1.7,/no-doubt/,Rock
NÃ´maci,6,0,/nomaci/,Rock
Normalayze,19,0,/normalayze/,Rock
NÃ_s e os PÃ¡ssaros,5,0,/nos-e-os-passaros/,Rock
NÃ´va,11,0,/nova/,Rock
Nove Mil Anjos,15,0,/nove-mil-anjos/,Rock
Novo Leo,10,0,/novo-leo/,Rock
O Surto,33,0.5,/o-surto/,Rock
O Traste Mudo,1,0,/o-traste-mudo/,Rock
O.A.R.,103,0,/oar/,Rock
Oito Ponto Zero,15,0,/oito-ponto-zero/,Rock
Olhos de PsiquÃª,5,0,/olhos-de-psique/,Rock
Os Seminovos,48,0.1,/os-seminovos/,Rock
Ou20's,1,0,/ou20s/,Rock
Ozzy Osbourne,173,3.4,/ozzy-osbourne/,Rock
P.O.D.,143,1,/p-o-d/,Rock
PAD,10,0,/pad/,Pop
Pamplona,4,0,/pamplona/,Rock
Papa Roach,155,1.4,/papa-roach/,Rock
Pat Benatar,130,0.3,/pat-benatar/,Rock
Pato Fu,146,1.4,/pato-fu/,Rock
Patrola,11,0,/patrola/,Rock
Patti Smith,132,0.4,/patti-smith/,Rock
Paul Gilbert,75,0,/paul-gilbert/,Rock
Paul McCartney,439,8.3,/paul-mccartney/,Rock
PG,111,1.1,/pg/,Rock
Placebo,159,1.1,/placebo/,Rock
Poets Of The Fall,88,0.2,/poets-of-the-fall/,Rock
Pousatigres,5,0,/pousatigres/,Rock
Pragah,14,0,/pragah/,Rock
Projeto Paralelo STM,1,0,/projeto-paralelo-stm/,Rock
Puddle Of Mudd,68,0.4,/puddle-of-mudd/,Rock
Purple Eyed Raven,3,0,/purple-eyed-raven/,Rock
Queen,249,69.5,/queen/,Rock
